id,address,city,state,zip,county,Activities,pet_friendly,camp_type,natural_features,num_enc
681,"36043 Soapberry Commons","Fremont ",CA,94536,Alameda,"Boating, Fishing, Swimming, Climbing, Hiking, Biking",NO,"Lodging, RVs, Tents","Forest, Mountains, Lake, River or Creek",1
682,"2640 8th Avenue","Oakland ",CA,94606,Alameda,"Climbing, Hiking, Biking",YES,"RVs, Tents","Forest, Mountains",1
683,"26334 Adrian Avenue","Hayward ",CA,94545,Alameda,"Boating, Fishing, Swimming",YES,"Lodging, RVs, Tents","Lake, River or Creek",1
684,"840 Inglewood Drive","West Sacramento ",CA,95605,Yolo,Hiking,YES,"Lodging, RVs, Tents",Forest,0
685,"3 Carson Street","Chico ",CA,95928,Butte,"Fishing, Swimming",NO,Tents,"Lake, River or Creek",7
686,"6420 Via Baron","Rancho Palos Verdes ",CA,90275,"Los Angeles","Climbing, Hiking, Biking",YES,"RVs, Tents","Forest, Mountains",9
687,"701 Mussel Slough Road","Hanford ",CA,93230,Kings,"Boating, Fishing, Swimming, Climbing, Hiking, Biking",YES,"Lodging, RVs, Tents","Forest, Mountains, Lake, River or Creek",0
688,"4231 Miramonte Way","Union City ",CA,94587,Alameda,"Climbing, Hiking",YES,"Lodging, RVs, Tents","Forest, Mountains",1
689,"31250 Courthouse Drive","Union City ",CA,94587,Alameda,"Boating, Fishing, Swimming",YES,"Lodging, RVs, Tents","Lake, River or Creek",1
690,"2064 West Columbia Way","Hanford ",CA,93230,Kings,Hiking,YES,"Lodging, RVs, Tents",Forest,0
691,"2641 Heather Lane","Redding ",CA,96002,Shasta,"Boating, Fishing, Swimming",YES,"RVs, Tents","Lake, River or Creek",27
692,"5397 Wentworth Avenue","Oakland ",CA,94601,Alameda,"Climbing, Hiking, Biking",YES,"RVs, Tents","Forest, Mountains",1
693,"10826 Pointe Royal Drive","Bakersfield ",CA,93311,Kern,"Boating, Fishing, Swimming, Climbing, Hiking, Biking",YES,"Lodging, RVs, Tents","Forest, Mountains, Lake, River or Creek",12
694,"22207 Quinterno Court","Cupertino ",CA,95014,"Santa Clara","Climbing, Hiking, Biking",YES,"RVs, Tents","Forest, Mountains",0
695,"703 Elizabeth Barcus Way","Fortuna ",CA,95540,Humboldt,"Fishing, Swimming",NO,"RVs, Tents","Lake, River or Creek",50
696,"7144 Marlborough Terrace","Berkeley ",CA,94705,Alameda,"Climbing, Hiking",YES,"Lodging, RVs, Tents","Forest, Mountains",1
697,"12091 Mierkey Road","Jackson ",CA,95642,Amador,"Boating, Fishing, Swimming",YES,"RVs, Tents","Lake, River or Creek",1
698,"1 Kelton Court","Oakland ",CA,94611,Alameda,"Climbing, Hiking, Biking",YES,"Lodging, RVs, Tents","Forest, Mountains",1
699,"1349 Burkhart Avenue","San Leandro ",CA,94579,Alameda,"Boating, Fishing, Swimming, Climbing, Hiking, Biking",YES,"Lodging, RVs, Tents","Forest, Mountains, Lake, River or Creek",1
700,"1314 89th Avenue","Oakland ",CA,94621,Alameda,"Fishing, Swimming",YES,"RVs, Tents","Lake, River or Creek",1
701,"1209 Parker Street","Berkeley ",CA,94702,Alameda,"Boating, Fishing, Swimming",YES,"RVs, Tents","Lake, River or Creek",1
702,"3905 Lyceum Avenue","Los Angeles ",CA,90066,"Los Angeles",Hiking,YES,"Lodging, RVs, Tents",Forest,9
703,"2632 Jackson Street East","Carson ",CA,90810,"Los Angeles","Boating, Fishing, Swimming",YES,"Lodging, RVs, Tents","Lake, River or Creek",9
704,"37600 Sycamore Street","Newark ",CA,94560,Alameda,"Climbing, Hiking",NO,Tents,"Forest, Mountains",1
705,"24147 Clinton Court","Hayward ",CA,94545,Alameda,"Fishing, Swimming",YES,"Lodging, RVs, Tents","Lake, River or Creek",1
706,"3526 Sutton Loop","Fremont ",CA,94536,Alameda,"Climbing, Hiking, Biking",NO,Tents,"Forest, Mountains",1
707,"42223 Edgewood Street","Fremont ",CA,94538,Alameda,"Boating, Fishing, Swimming",YES,"RVs, Tents","Lake, River or Creek",1
708,"2902 Flint Street","Union City ",CA,94587,Alameda,Hiking,YES,"Lodging, RVs, Tents",Forest,1
709,"1040 University Avenue","Berkeley ",CA,94710,Alameda,"Boating, Fishing, Swimming",YES,RVs,"Lake, River or Creek",1
710,"1234 Carmel Street","Madera ",CA,93638,Madera,"Fishing, Swimming",YES,"RVs, Tents","Lake, River or Creek",1
711,"954 Dowler Drive","Eureka ",CA,95501,Humboldt,"Boating, Fishing, Swimming, Climbing, Hiking, Biking",YES,"Lodging, RVs, Tents","Forest, Mountains, Lake, River or Creek",50
712,"849 East Victoria Street","Carson ",CA,90746,"Los Angeles","Climbing, Hiking",YES,"RVs, Tents","Forest, Mountains",9
713,"2747 68th Avenue","Oakland ",CA,94605,Alameda,"Boating, Fishing, Swimming",YES,RVs,"Lake, River or Creek",1
714,"310 12th Avenue","Santa Cruz ",CA,95062,"Santa Cruz",Hiking,YES,"Lodging, RVs, Tents",Forest,3
715,"2522 Fountain Avenue","South Lake Tahoe ",CA,96150,"El Dorado","Fishing, Swimming",YES,"Lodging, RVs, Tents","Lake, River or Creek",26
716,"1004 Bellflower Street","Livermore ",CA,94551,Alameda,"Climbing, Hiking, Biking",YES,"Lodging, RVs, Tents","Forest, Mountains",1
717,"281 MacArthur Boulevard","Oakland ",CA,94610,Alameda,"Boating, Fishing, Swimming, Climbing, Hiking, Biking",YES,"Lodging, RVs, Tents","Forest, Mountains, Lake, River or Creek",1
718,"12283 Thomas Lane","Yucaipa ",CA,92399,"San Bernardino","Climbing, Hiking, Biking",YES,"RVs, Tents","Forest, Mountains",11
719,"328 17th Street","Paso Robles ",CA,93446,"San Luis Obispo","Boating, Fishing, Swimming",YES,"RVs, Tents","Lake, River or Creek",1
720,"1937 Carleton Street","Berkeley ",CA,94704,Alameda,"Climbing, Hiking",NO,"Lodging, RVs, Tents","Forest, Mountains",1
721,"3377 Sandstone Court","Pleasanton ",CA,94588,Alameda,"Boating, Fishing, Swimming",NO,"RVs, Tents","Lake, River or Creek",1
722,"19416 Barclay Road","Castro Valley ",CA,94546,Alameda,"Climbing, Hiking, Biking",YES,"RVs, Tents","Forest, Mountains",1
723,"5130 Morris Way","Fremont ",CA,94536,Alameda,"Boating, Fishing, Swimming, Climbing, Hiking, Biking",NO,"Lodging, RVs, Tents","Forest, Mountains, Lake, River or Creek",1
724,"47634 Kato Road","Fremont ",CA,94538,Alameda,"Climbing, Hiking, Biking",YES,"RVs, Tents","Forest, Mountains",1
725,"1780 142nd Avenue","San Leandro ",CA,94578,Alameda,"Fishing, Swimming",YES,"Lodging, RVs, Tents","Lake, River or Creek",1
726,"10202 Vista Drive","Cupertino ",CA,95014,"Santa Clara",Hiking,YES,"Lodging, RVs, Tents",Forest,0
727,"2086 Hillside Drive","San Leandro ",CA,94577,Alameda,"Boating, Fishing, Swimming",YES,RVs,"Lake, River or Creek",1
728,"3072 The Alameda","Concord ",CA,94519,"Contra Costa","Climbing, Hiking",YES,"RVs, Tents","Forest, Mountains",1
729,"1108 Slater Street","Santa Rosa ",CA,95404,Sonoma,"Boating, Fishing, Swimming, Climbing, Hiking, Biking",NO,"Lodging, RVs, Tents","Forest, Mountains, Lake, River or Creek",5
730,"4438 Maine Avenue","Baldwin Park ",CA,91706,"Los Angeles","Fishing, Swimming",YES,"RVs, Tents","Lake, River or Creek",9
731,"915 Sacramento Street","Bakersfield ",CA,93305,Kern,"Boating, Fishing, Swimming",YES,"RVs, Tents","Lake, River or Creek",12
732,"4936 Sequoia Avenue","Dublin ",CA,94568,Alameda,Hiking,NO,"Lodging, RVs, Tents",Forest,1
733,"260 Rio Del Mar Boulevard","Aptos ",CA,95003,"Santa Cruz","Boating, Fishing, Swimming",YES,"RVs, Tents","Lake, River or Creek",3
734,"654 Laurette Place","Hayward ",CA,94544,Alameda,"Climbing, Hiking, Biking",NO,Tents,"Forest, Mountains",1
735,"36360 Beech Place","Newark ",CA,94560,Alameda,"Fishing, Swimming",NO,"Lodging, RVs, Tents","Lake, River or Creek",1
736,"2042 High Street","Oakland ",CA,94601,Alameda,"Climbing, Hiking",YES,"RVs, Tents","Forest, Mountains",1
737,"33300 Mission Boulevard","Union City ",CA,94587,Alameda,"Boating, Fishing, Swimming",YES,"Lodging, RVs, Tents","Lake, River or Creek",1
738,"5410 McLean Drive","Elk Grove ",CA,95757,Sacramento,Hiking,YES,"Lodging, RVs, Tents",Forest,0
739,"16910 Alpine Drive","Pioneer ",CA,95666,Amador,"Boating, Fishing, Swimming",YES,"RVs, Tents","Lake, River or Creek",1
740,"439 Crestmont Drive","Oakland ",CA,94619,Alameda,"Fishing, Swimming",YES,RVs,"Lake, River or Creek",1
741,"1357 Addison Street","Berkeley ",CA,94702,Alameda,"Boating, Fishing, Swimming, Climbing, Hiking, Biking",YES,"Lodging, RVs, Tents","Forest, Mountains, Lake, River or Creek",1
742,"1 Portsmouth Road","Piedmont ",CA,94610,Alameda,"Climbing, Hiking, Biking",YES,"RVs, Tents","Forest, Mountains",1
743,"222 Quince Street","San Diego ",CA,92103,"San Diego","Boating, Fishing, Swimming",YES,"Lodging, RVs, Tents","Lake, River or Creek",9
744,"61 Callahan Way","Mammoth Lakes ",CA,93546,Mono,"Climbing, Hiking",YES,"Lodging, RVs, Tents","Forest, Mountains",16
745,"7237 Wild Currant Way","Oakland ",CA,94611,Alameda,"Fishing, Swimming",YES,"Lodging, RVs, Tents","Lake, River or Creek",1
746,"28250 Dickens Avenue","Hayward ",CA,94544,Alameda,"Climbing, Hiking, Biking",NO,Tents,"Forest, Mountains",1
747,"1987 Boxer Court","San Lorenzo ",CA,94580,Alameda,"Boating, Fishing, Swimming, Climbing, Hiking, Biking",NO,"Lodging, RVs, Tents","Forest, Mountains, Lake, River or Creek",1
748,"1497 Greenbrier Road","West Sacramento ",CA,95691,Yolo,"Climbing, Hiking, Biking",YES,"Lodging, RVs, Tents","Forest, Mountains",0
749,"125 John Street","Santa Cruz ",CA,95060,"Santa Cruz","Boating, Fishing, Swimming",NO,RVs,"Lake, River or Creek",3
750,"7573 National Drive","Livermore ",CA,94550,Alameda,Hiking,YES,"Lodging, RVs, Tents",Forest,1
751,"1226 Blossom Circle","Livermore ",CA,94550,Alameda,"Boating, Fishing, Swimming",YES,"RVs, Tents","Lake, River or Creek",1
752,"1194 Cragmont Avenue","Berkeley ",CA,94708,"Contra Costa","Climbing, Hiking",NO,"RVs, Tents","Forest, Mountains",1
753,"2755 Country Drive","Fremont ",CA,94536,Alameda,"Boating, Fishing, Swimming, Climbing, Hiking, Biking",NO,"Lodging, RVs, Tents","Forest, Mountains, Lake, River or Creek",1
754,"468 Raymond Drive","Ione ",CA,95640,Amador,"Climbing, Hiking, Biking",NO,Tents,"Forest, Mountains",1
755,"18687 County Road 97","Woodland ",CA,95695,Yolo,"Fishing, Swimming",YES,"RVs, Tents","Lake, River or Creek",0
756,"11 Eclipse Court","Alameda ",CA,94501,Alameda,Hiking,YES,"Lodging, RVs, Tents",Forest,1
757,"4500 Margalo Avenue","Bakersfield ",CA,93313,Kern,"Boating, Fishing, Swimming",YES,"RVs, Tents","Lake, River or Creek",12
758,"12156 Oslo Drive","Truckee ",CA,96161,Nevada,"Climbing, Hiking, Biking",YES,"RVs, Tents","Forest, Mountains",11
759,"4493 Heath Circle","Rohnert Park ",CA,94928,Sonoma,"Boating, Fishing, Swimming, Climbing, Hiking, Biking",NO,"Lodging, RVs, Tents","Forest, Mountains, Lake, River or Creek",5
760,"612 E Street","Marysville ",CA,95901,Yuba,"Climbing, Hiking",YES,"Lodging, RVs, Tents","Forest, Mountains",1
761,"6716 South Mariposa Lane","Dublin ",CA,94568,Alameda,"Boating, Fishing, Swimming",NO,Tents,"Lake, River or Creek",1
762,"30544 Whitmore Road","Whitmore ",CA,96096,Shasta,Hiking,NO,"Lodging, RVs, Tents",Forest,27
763,"55620 Jolon Road","King City ",CA,93930,Monterey,"Boating, Fishing, Swimming",YES,"Lodging, RVs, Tents","Lake, River or Creek",4
764,"65 Hilltop Lane","McKinleyville ",CA,95519,Humboldt,"Climbing, Hiking, Biking",YES,"RVs, Tents","Forest, Mountains",50
765,"441 Merritt Avenue","Oakland ",CA,94610,Alameda,"Fishing, Swimming",YES,"Lodging, RVs, Tents","Lake, River or Creek",1
766,"24647 Patricia Court","Hayward ",CA,94541,Alameda,"Climbing, Hiking, Biking",YES,"RVs, Tents","Forest, Mountains",1
767,"101 Mustang Drive","San Luis Obispo ",CA,93405,"San Luis Obispo","Boating, Fishing, Swimming",YES,"Lodging, RVs, Tents","Lake, River or Creek",1
768,"4439 Gale Street","Livermore ",CA,94550,Alameda,"Climbing, Hiking",YES,"Lodging, RVs, Tents","Forest, Mountains",1
769,"4540 Phyllis Court","Livermore ",CA,94550,Alameda,"Boating, Fishing, Swimming",YES,"RVs, Tents","Lake, River or Creek",1
770,"649 Praderia Circle","Fremont ",CA,94539,Alameda,"Fishing, Swimming",YES,"Lodging, RVs, Tents","Lake, River or Creek",1
771,"3115 North Lake Boulevard","Tahoe City ",CA,96145,Placer,"Boating, Fishing, Swimming, Climbing, Hiking, Biking",YES,"Lodging, RVs, Tents","Forest, Mountains, Lake, River or Creek",6
772,"3215 Madsen Street","Hayward ",CA,94541,Alameda,"Climbing, Hiking, Biking",YES,"RVs, Tents","Forest, Mountains",1
773,"6100 Bullard Drive","Oakland ",CA,94611,Alameda,"Boating, Fishing, Swimming",YES,"Lodging, RVs, Tents","Lake, River or Creek",1
774,"1139 Addison Street","Berkeley ",CA,94702,Alameda,Hiking,YES,"Lodging, RVs, Tents",Forest,1
775,"4738 Mallard Common","Fremont ",CA,94555,Alameda,"Fishing, Swimming",YES,"RVs, Tents","Lake, River or Creek",1
776,"5264 Shafter Avenue","Oakland ",CA,94618,Alameda,"Climbing, Hiking",YES,"RVs, Tents","Forest, Mountains",1
777,"2337 Nebraska Avenue","Selma ",CA,93662,Fresno,"Boating, Fishing, Swimming, Climbing, Hiking, Biking",YES,"Lodging, RVs, Tents","Forest, Mountains, Lake, River or Creek",17
778,"1890 Orchard View Road","Roseville ",CA,95747,Placer,"Climbing, Hiking, Biking",YES,"RVs, Tents","Forest, Mountains",6
779,"1352 Purdue Street","San Leandro ",CA,94579,Alameda,"Boating, Fishing, Swimming",YES,"RVs, Tents","Lake, River or Creek",1
780,"22709 Canyon Terrace Drive","Castro Valley ",CA,94552,Alameda,Hiking,NO,"Lodging, RVs, Tents",Forest,1
781,"4444 Central Avenue","Fremont ",CA,94536,Alameda,"Boating, Fishing, Swimming",NO,Tents,"Lake, River or Creek",1
782,"10400 Royal Oak Road","Oakland ",CA,94605,Alameda,"Climbing, Hiking, Biking",YES,RVs,"Forest, Mountains",1
783,"20930 Todd Valley Road","Foresthill ",CA,95631,Placer,"Boating, Fishing, Swimming, Climbing, Hiking, Biking",YES,"Lodging, RVs, Tents","Forest, Mountains, Lake, River or Creek",6
784,"43626 Bryant Street","Fremont ",CA,94539,Alameda,"Climbing, Hiking",YES,"Lodging, RVs, Tents","Forest, Mountains",1
785,"32512 Christine Drive","Union City ",CA,94587,Alameda,"Fishing, Swimming",YES,"Lodging, RVs, Tents","Lake, River or Creek",1
786,"835 Shiloh Court","Redding ",CA,96003,Shasta,Hiking,YES,"Lodging, RVs, Tents",Forest,27
787,"10841 Sutter Circle","Sutter Creek ",CA,95685,Amador,"Boating, Fishing, Swimming",YES,"Lodging, RVs, Tents","Lake, River or Creek",1
788,"2732 Humboldt Avenue","Oakland ",CA,94602,Alameda,"Climbing, Hiking, Biking",YES,"Lodging, RVs, Tents","Forest, Mountains",1
789,"39247 Sundale Drive","Fremont ",CA,94538,Alameda,"Boating, Fishing, Swimming, Climbing, Hiking, Biking",YES,"Lodging, RVs, Tents","Forest, Mountains, Lake, River or Creek",1
790,"4409 Star Jasmine Court","Bakersfield ",CA,93304,Kern,"Fishing, Swimming",NO,Tents,"Lake, River or Creek",12
791,"5805 Armada Drive","Carlsbad ",CA,92008,"San Diego","Boating, Fishing, Swimming",NO,Tents,"Lake, River or Creek",9
792,"51035 Conifer Drive","Soda Springs ",CA,95728,Placer,"Climbing, Hiking",NO,"Lodging, RVs, Tents","Forest, Mountains",6
793,"11522 Country Spring Court","Cupertino ",CA,95014,"Santa Clara","Boating, Fishing, Swimming",YES,"RVs, Tents","Lake, River or Creek",0
794,"553 South Arlington Road","Orange ",CA,92869,Orange,"Climbing, Hiking, Biking",YES,RVs,"Forest, Mountains",14
795,"3862 Almond Avenue","Fremont ",CA,94538,Alameda,"Fishing, Swimming",YES,"Lodging, RVs, Tents","Lake, River or Creek",1
796,"14347 Corvallis Street","San Leandro ",CA,94579,Alameda,"Climbing, Hiking, Biking",YES,"RVs, Tents","Forest, Mountains",1
797,"1358 Scenic Avenue","Berkeley ",CA,94708,"Contra Costa","Boating, Fishing, Swimming",NO,"RVs, Tents","Lake, River or Creek",1
798,"1481 Stannage Avenue","Berkeley ",CA,94702,Alameda,Hiking,YES,"Lodging, RVs, Tents",Forest,1
799,"1725 Oxford Street","Berkeley ",CA,94709,Alameda,"Boating, Fishing, Swimming",YES,"RVs, Tents","Lake, River or Creek",1
800,"1818 Bay Street","Alameda ",CA,94501,Alameda,"Climbing, Hiking",YES,"RVs, Tents","Forest, Mountains",1
801,"1011 San Jose Street","San Leandro ",CA,94577,Alameda,"Boating, Fishing, Swimming, Climbing, Hiking, Biking",YES,"Lodging, RVs, Tents","Forest, Mountains, Lake, River or Creek",1
802,"424 Callan Avenue","San Leandro ",CA,94577,Alameda,"Climbing, Hiking, Biking",YES,RVs,"Forest, Mountains",1
803,"1300 Lemos Lane","Fremont ",CA,94539,Alameda,"Boating, Fishing, Swimming",YES,"Lodging, RVs, Tents","Lake, River or Creek",1
804,"2414 Parker Street","Berkeley ",CA,94704,Alameda,Hiking,NO,"Lodging, RVs, Tents",Forest,1
805,"4300 Soquel Drive","Soquel ",CA,95073,"Santa Cruz","Fishing, Swimming",YES,"Lodging, RVs, Tents","Lake, River or Creek",3
806,"25793 Durrwood Court","Castro Valley ",CA,94552,Alameda,"Climbing, Hiking, Biking",NO,Tents,"Forest, Mountains",1
807,"37675 Fremont Boulevard","Fremont ",CA,94536,Alameda,"Boating, Fishing, Swimming, Climbing, Hiking, Biking",NO,"Lodging, RVs, Tents","Forest, Mountains, Lake, River or Creek",1
808,"4971 Janet Court","Livermore ",CA,94550,Alameda,"Climbing, Hiking",YES,"RVs, Tents","Forest, Mountains",1
809,"725 65th Street","Oakland ",CA,94609,Alameda,"Boating, Fishing, Swimming",YES,"RVs, Tents","Lake, River or Creek",1
810,"31130 Meadowbrook Avenue","Hayward ",CA,94544,Alameda,Hiking,NO,"Lodging, RVs, Tents",Forest,1
811,"8934 Arrowrock Trail","Smartsville ",CA,95977,Yuba,"Boating, Fishing, Swimming",YES,RVs,"Lake, River or Creek",1
812,"6145 East Castro Valley Boulevard","Castro Valley ",CA,94552,Alameda,"Climbing, Hiking, Biking",NO,Tents,"Forest, Mountains",1
813,"942 Lewis Road","undefined ",CA,95076,"Santa Cruz","Boating, Fishing, Swimming, Climbing, Hiking, Biking",NO,"Lodging, RVs, Tents","Forest, Mountains, Lake, River or Creek",3
814,"5792 Owl Hill Avenue","Santa Rosa ",CA,95409,Sonoma,"Climbing, Hiking, Biking",YES,"Lodging, RVs, Tents","Forest, Mountains",5
815,"158 Euclid Avenue","San Leandro ",CA,94577,Alameda,"Fishing, Swimming",YES,RVs,"Lake, River or Creek",1
816,"732 Kevin Court","Oakland ",CA,94621,Alameda,"Climbing, Hiking",YES,"Lodging, RVs, Tents","Forest, Mountains",1
817,"1238 Roanwood Way","Concord ",CA,94521,"Contra Costa","Boating, Fishing, Swimming",YES,RVs,"Lake, River or Creek",1
818,"3027 Badger Drive","Pleasanton ",CA,94566,Alameda,"Climbing, Hiking, Biking",YES,"Lodging, RVs, Tents","Forest, Mountains",1
819,"16303 Mateo Street","San Leandro ",CA,94578,Alameda,"Boating, Fishing, Swimming, Climbing, Hiking, Biking",YES,"Lodging, RVs, Tents","Forest, Mountains, Lake, River or Creek",1
820,"6047 Cole Court","Arvada ",CO,80004,Jefferson,"Fishing, Swimming",NO,"Lodging, RVs, Tents","Lake, River or Creek",56
821,"747 West Pacific Avenue","Telluride ",CO,81435,"San Miguel","Boating, Fishing, Swimming",YES,"Lodging, RVs, Tents","Lake, River or Creek",1
822,"6739 Taft Court","Arvada ",CO,80004,Jefferson,Hiking,NO,"Lodging, RVs, Tents",Forest,56
823,"11140 West 60th Avenue","Arvada ",CO,80004,Jefferson,"Boating, Fishing, Swimming",NO,"Lodging, RVs, Tents","Lake, River or Creek",56
824,"320 South Link Lane","Fort Collins ",CO,80524,Larimer,"Climbing, Hiking",NO,"RVs, Tents","Forest, Mountains",8
825,"11813 West 75th Circle","Arvada ",CO,80005,Jefferson,"Fishing, Swimming",YES,"Lodging, RVs, Tents","Lake, River or Creek",56
826,"9399 Yucca Way","Arvada ",CO,80007,Jefferson,"Climbing, Hiking, Biking",YES,"Lodging, RVs, Tents","Forest, Mountains",56
827,"9903 West 53rd Place","Arvada ",CO,80002,Jefferson,"Boating, Fishing, Swimming",YES,"RVs, Tents","Lake, River or Creek",56
828,"2409 Research Boulevard","Fort Collins ",CO,80526,Larimer,Hiking,YES,"Lodging, RVs, Tents",Forest,8
829,"9605 West 62nd Place","Arvada ",CO,80004,Jefferson,"Boating, Fishing, Swimming",NO,"Lodging, RVs, Tents","Lake, River or Creek",56
830,"620 Veta Avenue","Pueblo ",CO,81004,Pueblo,"Fishing, Swimming",NO,RVs,"Lake, River or Creek",1
831,"3813 Sheffield Lane","Pueblo ",CO,81005,Pueblo,"Boating, Fishing, Swimming, Climbing, Hiking, Biking",YES,"Lodging, RVs, Tents","Forest, Mountains, Lake, River or Creek",1
832,"6473 Zephyr Street","Arvada ",CO,80004,Jefferson,"Climbing, Hiking",NO,"Lodging, RVs, Tents","Forest, Mountains",56
833,"2186 Knollwood Drive","Boulder ",CO,80302,Boulder,"Boating, Fishing, Swimming",YES,"RVs, Tents","Lake, River or Creek",3
834,"13628 West 62nd Drive","Arvada ",CO,80004,Jefferson,Hiking,NO,"Lodging, RVs, Tents",Forest,56
835,"7564 Moore Court","Arvada ",CO,80005,Jefferson,"Fishing, Swimming",YES,"RVs, Tents","Lake, River or Creek",56
836,"12245 West 71st Place","Arvada ",CO,80004,Jefferson,"Climbing, Hiking, Biking",NO,"Lodging, RVs, Tents","Forest, Mountains",56
837,"8506 West 54th Avenue","Arvada ",CO,80002,Jefferson,"Boating, Fishing, Swimming, Climbing, Hiking, Biking",YES,"Lodging, RVs, Tents","Forest, Mountains, Lake, River or Creek",56
838,"8671 West 78th Circle","Arvada ",CO,80005,Jefferson,"Climbing, Hiking, Biking",YES,"RVs, Tents","Forest, Mountains",56
839,"11 North Vineyard Drive","Pueblo West ",CO,81007,Pueblo,"Boating, Fishing, Swimming",YES,"RVs, Tents","Lake, River or Creek",1
840,"5458 Zephyr Court","Arvada ",CO,80002,Jefferson,"Climbing, Hiking",YES,"Lodging, RVs, Tents","Forest, Mountains",56
841,"6820 West 84th Circle","Arvada ",CO,80003,Jefferson,"Boating, Fishing, Swimming",YES,RVs,"Lake, River or Creek",56
